Token	Tag
apply	Eng
to	Eng
the	Eng
kids	Eng
that	Eng
try	Eng
really	Eng
hard	Eng
to	Eng
act	Eng
mexican	Spn
but	Eng
can	Eng
'	Punct
t	Eng
speak	Eng
Spanish	Eng
.	Punct
!	Punct
!	Punct
most	Eng
edgers	Eng
😂	Punct
!	Punct
!	Punct
Sad	Eng
fact	Eng
:	Punct
some	Eng
immigrants	Eng
felt	Eng
that	Eng
to	Eng
assimilate	Eng
was	Eng
to	Eng
forget	Eng
their	Eng
customs	Eng
.	Punct
Chicanos	Spn
were	Eng
forced	Eng
to	Eng
forget	Eng
their	Eng
language	Eng
before	Eng
1968	Num
Sad	Eng
fact	Eng
:	Punct
some	Eng
immigrants	Eng
felt	Eng
that	Eng
to	Eng
assimilate	Eng
was	Eng
to	Eng
forget	Eng
their	Eng
customs	Eng
.	Punct
Chicanos	Spn
were	Eng
forced	Eng
to	Eng
forget	Eng
their	Eng
language	Eng
before	Eng
1968	Num
no	Spn
sabo	Spn
kids	Eng
just	Eng
take	Eng
the	Eng
word	Eng
imagine	Eng
it	Eng
in	Eng
english	Eng
and	Eng
add	Eng
spanish	Eng
to	Eng
it	Eng
💀	Punct
Why	Eng
Latino	Spn
like	Eng
to	Eng
make	Eng
fun	Eng
of	Eng
other	Eng
Latino	Spn
for	Eng
not	Eng
speaking	Eng
Spanish	Eng
?	Punct
🤔	Punct
I	Eng
just	Eng
realized	Eng
I	Eng
’	Punct
m	Eng
a	Eng
no	Spn
Sabo	Spn
adult	Eng
🥺	Punct
I	Eng
thought	Eng
my	Eng
Spanish	Eng
was	Eng
pretty	Eng
good	Eng
but	Eng
I	Eng
do	Eng
say	Eng
“	Punct
cómo	Spn
se	Spn
dice	Spn
”	Punct
a	Eng
lot	Eng
😂	Punct
im	Eng
a	Eng
sabo	Spn
kid	Eng
🥴	Punct
oh	Eng
my	Eng
mompractice	Eng
Spanish	Eng
*	Punct
me	Spn
like	Eng
*	Punct
@	Punct
notwilldania	Spn
Me	Spn
be	Eng
like	Eng
:	Punct
Ik	Eng
that	Eng
but	Eng
it	Eng
’	Punct
s	Eng
not	Eng
There	Eng
fault	Eng
they	Eng
can	Eng
’	Punct
t	Eng
say	Eng
words	Eng
(	Punct
also	Eng
while	Eng
writing	Eng
this	Eng
I	Eng
couldn	Eng
’	Punct
t	Eng
stop	Eng
laughing	Eng
)	Punct
Like	Eng
barking	Eng
😭	Punct
😭	Punct
BRO	Spn
MY	Eng
BFF	Eng
IN	Eng
A	Eng
NO	Spn
SABO	Spn
KID	Eng
AND	Eng
IM	Eng
A	Eng
WHITE	Eng
KID	Eng
AND	Eng
I	Eng
KNOW	Eng
MORE	Eng
SPAINISH	Eng
-	Punct
THE	Eng
DOG	Eng
😭	Punct
😭	Punct
@	Punct
elkd04	Spn
THIS	Eng
IS	Eng
ABOUT	Eng
TO	Eng
BE	Eng
JEFFREY	Eng
LMAOO	Eng
Do	Eng
that	Eng
@	Punct
giancxrxo	Eng
u	Eng
That	Eng
moment	Eng
when	Eng
you	Eng
can	Eng
’	Punct
t	Eng
speak	Eng
Spanish	Eng
and	Eng
English	Eng
correctly	Eng
I	Eng
’	Punct
m	Eng
sorry	Eng
I	Eng
mean	Eng
✨	Punct
ppppPerron	Spn
✨	Punct
The	Eng
dog	Eng
:	Punct
GWHaT	Eng
dA	Spn
FaQ	Eng
I	Eng
be	Eng
saying	Eng
barkiando	Spn
😭	Punct
😂	Punct
I	Eng
’	Punct
m	Eng
weak	Eng
@	Punct
d34dgirl1	Spn
me	Spn
lmfaooo	Eng
I	Eng
only	Eng
know	Eng
:	Punct
Puta	Spn
No	Spn
hablo	Spn
espanol	Spn
uno	Spn
dos	Spn
tres	Spn
quatro	Spn
sinco	Spn
siese	Spn
siete	Spn
ocho	Spn
nueve	Spn
diaz	Spn
.	Punct
I	Eng
dont	Eng
think	Eng
is	Eng
spelled	Eng
those	Eng
right	Eng
no	Spn
disrespect	Eng
@	Punct
nat30sccl	Eng
u	Eng
know	Eng
who	Eng
?	Punct
@	Punct
r1co1	Spn
your	Eng
brother	Eng
@	Punct
emilysierra1010	Spn
why	Eng
did	Eng
I	Eng
think	Eng
of	Eng
Danny	Eng
😭	Punct
@	Punct
vivian	Spn
.	Punct
bruh	Eng
you	Eng
said	Eng
barkeando	Spn
😂	Punct
😂	Punct
😂	Punct
Me	Eng
translating	Eng
legal	Eng
documents	Eng
to	Eng
my	Eng
dad	Eng
Him	Eng
-	Punct
he	Eng
will	Eng
give	Eng
you	Eng
permission	Eng
“	Punct
QUE	Spn
TO	Eng
QUE	Spn
”	Punct
-	Punct
🤨	Punct
😭	Punct
😂	Punct
”	Punct
They	Eng
also	Eng
want	Eng
you	Eng
”	Punct
🤣	Punct
🤣	Punct
In	Eng
his	Eng
defense	Eng
translating	Eng
is	Eng
hard	Eng
At	Eng
least	Eng
hes	Eng
trying	Eng
because	Eng
a	Eng
lot	Eng
of	Eng
kids	Eng
wont	Eng
even	Eng
try	Eng
I	Eng
laughed	Eng
so	Eng
hard	Eng
when	Eng
he	Eng
said	Eng
“	Punct
and	Eng
he	Eng
want	Eng
you	Eng
”	Punct
😂	Punct
😂	Punct
the	Eng
no	Spn
Sabo	Spn
kid	Eng
is	Eng
grammatically	Eng
correct	Eng
😂	Punct
“	Punct
And	Eng
we	Eng
also	Eng
want	Eng
you	Eng
”	Punct
lmaoo	Eng
this	Eng
gave	Eng
me	Eng
flashbacks	Eng
when	Eng
I	Eng
used	Eng
to	Eng
translate	Eng
for	Eng
my	Eng
parents	Eng
🤣	Punct
“	Punct
So	Eng
you	Eng
can	Eng
take	Eng
care	Eng
of	Eng
her	Eng
much	Eng
…	Punct
super	Eng
much	Eng
…	Punct
.	Punct
and	Eng
we	Eng
want	Eng
you	Eng
…	Punct
…	Punct
and	Eng
we	Eng
also	Eng
want	Eng
you	Eng
”	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
im	Eng
dying	Eng
bruh	Eng
😂	Punct
😂	Punct
😂	Punct
he	Eng
so	Eng
cute	Eng
atleast	Eng
he	Eng
tried	Eng
.	Punct
I	Eng
mean	Eng
he	Eng
'	Punct
s	Eng
not	Eng
wrong	Eng
on	Eng
the	Eng
translation	Eng
lol	Eng
"Punct	O	N/A	N/A	N/A	N/A
lo	Spn	O	19.44	42.92	-2.38	40.54
queremos	Spn	O	18.42	69.93	-1.01	68.92
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
el	Spn	O	19.84	42.02	-1.01	41.010000000000005"	Punct
he	Eng
wants	Eng
you	Eng
too	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
“	Punct
Super	Eng
much	Eng
”	Punct
😭	Punct
No	Spn
because	Eng
i	Eng
know	Eng
his	Eng
heart	Eng
was	Eng
going	Eng
PEATER	Eng
PATTER	Eng
PEATER	Eng
PATTER	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
@	Punct
lix1ta	Spn
“	Punct
they	Eng
also	Eng
want	Eng
you	Eng
…	Punct
right	Eng
?	Punct
”	Punct
😭	Punct
😭	Punct
This	Eng
is	Eng
easy	Eng
to	Eng
translate	Eng
but	Eng
translating	Eng
legal	Eng
documents	Eng
is	Eng
harder	Eng
the	Eng
whole	Eng
family	Eng
getting	Eng
married	Eng
😭	Punct
Why	Eng
is	Eng
no	Spn
one	Eng
talking	Eng
about	Eng
that	Eng
kid	Eng
wanting	Eng
a	Eng
beer	Eng
😂	Punct
“	Punct
take	Eng
care	Eng
of	Eng
her	Eng
super	Eng
much	Eng
“	Punct
Lol	Eng
me	Eng
translating	Eng
🤣	Punct
LMAOM	Eng
ME	Eng
WHEN	Eng
MY	Eng
DAD	Eng
ASK	Eng
ME	Eng
TO	Eng
TRANSLATE	Eng
Dude	Spn
this	Eng
is	Eng
how	Eng
I	Eng
feel	Eng
when	Eng
I	Eng
try	Eng
to	Eng
speak	Eng
Spanish	Eng
for	Eng
too	Eng
long	Eng
lmao	Spn
I	Eng
forget	Eng
words	Eng
&	Punct
translate	Eng
literally	Eng
😂	Punct
lmaooo	Eng
he	Eng
looks	Eng
so	Eng
confused	Eng
😭	Punct
😭	Punct
he	Eng
went	Eng
like	Eng
“	Punct
they	Eng
want	Eng
me	Eng
for	Eng
what	Eng
?	Punct
”	Punct
💀	Punct
@	Punct
lani	Spn
.	Punct
hairstyles	Eng
@	Punct
nayna	Spn
.	Punct
love	Eng
oof	Eng
🤣	Punct
That	Eng
kid	Eng
knows	Eng
more	Eng
than	Eng
any	Eng
child	Eng
i	Eng
know	Eng
😂	Punct
GOOD	Eng
JOB	Eng
MIJOOO	Spn
!	Punct
!	Punct
Bruh	Eng
I	Eng
remember	Eng
too	Eng
😳	Punct
“	Punct
super	Eng
much	Eng
“	Punct
they	Eng
want	Eng
you	Eng
”	Punct
👁	Punct
🫦	Punct
👁	Punct
Bro	Spn
that	Eng
’	Punct
s	Eng
me	Spn
Ima	Spn
.	Punct
Yo	Spn
no	Spn
sabo	Spn
kid	Eng
got	Eng
him	Eng
biting	Eng
his	Eng
nails	Eng
and	Eng
all	Eng
😂	Punct
😂	Punct
SUPER	Eng
MUCH	Eng
lmaoooo	Eng
Hateful	Eng
or	Eng
offensive	Eng
comments	Eng
are	Eng
filtered	Eng
so	Eng
they	Eng
dont	Eng
show	Eng
here	Eng
and	Eng
user	Eng
blocked	Eng
😁	Punct
Can	Eng
you	Eng
do	Eng
a	Eng
reaction	Eng
video	Eng
of	Eng
him	Eng
when	Eng
you	Eng
tell	Eng
him	Eng
the	Eng
actual	Eng
meaning	Eng
.	Punct
This	Eng
was	Eng
hilarious	Eng
😂	Punct
😂	Punct
Mi	Spn
hijo	Spn
también	Spn
nació	Spn
en	Spn
California	Spn
y	Spn
habla	Spn
Perfecto	Spn
español	Spn
y	Spn
Perfecto	Spn
inglés	Spn
He	Eng
mixed	Eng
some	Eng
French	Eng
in	Eng
there	Eng
“	Punct
le	Spn
pluton	Eng
”	Punct
😅	Punct
😂	Punct
Me	Eng
when	Eng
I	Eng
'	Punct
m	Eng
embarrassed	Eng
:	Punct
🤰	Punct
That	Eng
was	Eng
100	Num
percent	Eng
correct	Eng
for	Eng
a	Eng
no	Spn
sabo	Spn
kid	Eng
well	Eng
done	Eng
🎉	Punct
🎉	Punct
😂	Punct
😂	Punct
😂	Punct
🤦	Punct
His	Eng
confidence	Eng
“	Punct
translating	Eng
”	Punct
everything	Eng
!	Punct
😩	Punct
🤣	Punct
he	Eng
’	Punct
s	Eng
trying	Eng
well	Eng
give	Eng
him	Eng
that	Eng
credit	Eng
!	Punct
His	Eng
confidence	Eng
😂	Punct
how	Eng
is	Eng
he	Eng
so	Eng
confident	Eng
about	Eng
each	Eng
word	Eng
😂	Punct
😂	Punct
😂	Punct
Madrugada	Spn
:	Punct
this	Eng
one	Eng
means	Eng
drugs	Eng
or	Eng
narcotics	Eng
of	Eng
sorts	Eng
😂	Punct
🤣	Punct
I	Eng
love	Eng
his	Eng
confidence	Eng
.	Punct
The	Eng
confidence	Eng
alone	Eng
will	Eng
make	Eng
anybody	Eng
believe	Eng
he	Eng
knows	Eng
what	Eng
he	Eng
’	Punct
s	Eng
saying	Eng
😂	Punct
😂	Punct
this	Eng
man	Eng
’	Punct
s	Eng
gonna	Eng
be	Eng
a	Eng
lawyer	Eng
How	Eng
did	Eng
I	Eng
end	Eng
up	Eng
on	Eng
NoSaboTikTok	Eng
!	Punct
I	Eng
’	Punct
m	Eng
going	Eng
to	Eng
sleep	Eng
!	Punct
!	Punct
I	Eng
’	Punct
m	Eng
done	Eng
…	Punct
I	Eng
’	Punct
m	Eng
done	Eng
!	Punct
I	Eng
wouldn	Eng
'	Punct
t	Eng
call	Eng
him	Eng
a	Eng
No	Spn
Sabo	Spn
kid	Eng
though	Eng
he	Eng
tries	Eng
&	Punct
shouldn	Eng
'	Punct
t	Eng
be	Eng
made	Eng
fun	Eng
off	Eng
for	Eng
it	Eng
it	Eng
'	Punct
s	Eng
the	Eng
parents	Eng
responsibility	Eng
to	Eng
teach	Eng
the	Eng
language	Eng
🤷	Punct
‍	Punct
♀	Punct
️	Punct
I	Eng
’	Punct
m	Eng
a	Eng
Spanish	Eng
major	Eng
and	Eng
this	Eng
was	Eng
so	Eng
fun	Eng
to	Eng
watch	Eng
!	Punct
Me	Spn
encanta	Spn
su	Spn
video	Eng
!	Punct
Gracias	Spn
por	Spn
el	Spn
video	Eng
.	Punct
He	Eng
gets	Eng
a	Eng
10	Num
/	Punct
10	Num
just	Eng
for	Eng
the	Eng
reason	Eng
he	Eng
use	Eng
a	Eng
example	Eng
for	Eng
everyone	Eng
word	Eng
👏	Punct
🏼	Punct
👏	Punct
🏼	Punct
¿	Punct
Does	Eng
he	Eng
know	Eng
the	Eng
word	Eng
chancla	Spn
?	Punct
😁	Punct
my	Eng
kids	Eng
were	Eng
born	Eng
in	Eng
the	Eng
USA	Spn
end	Eng
they	Eng
speak	Eng
English	Eng
and	Eng
Spanish	Eng
I	Eng
HAVE	Eng
to	Eng
try	Eng
this	Eng
with	Eng
my	Eng
13	Num
yr	Eng
old	Eng
daughter	Eng
😂	Punct
she	Eng
once	Eng
called	Eng
groceries	Eng
“	Punct
grocerias	Eng
”	Punct
“	Punct
Obviously	Eng
el	Spn
ciminalo	Spn
”	Punct
💀	Punct
😂	Punct
criminalo	Spn
😂	Punct
and	Eng
he	Eng
used	Eng
logic	Eng
😂	Punct
😂	Punct
😂	Punct
I	Eng
am	Eng
dead	Eng
Lol	Eng
😂	Punct
A	Eng
la	Spn
pluton	Eng
😂	Punct
😂	Punct
😂	Punct
I	Eng
feel	Eng
like	Eng
this	Eng
is	Eng
gonna	Eng
be	Eng
my	Eng
son	Eng
in	Eng
the	Eng
future	Eng
😅	Punct
Its	Eng
the	Eng
confidence	Eng
that	Eng
kills	Eng
me	Eng
😂	Punct
Clearly	Eng
y	Spn
’	Punct
all	Eng
are	Eng
joking	Eng
😂	Punct
right	Eng
?	Punct
😳	Punct
😂	Punct
he	Eng
'	Punct
s	Eng
funny	Eng
Lol	Eng
I	Eng
swear	Eng
he	Eng
knows	Eng
all	Eng
of	Eng
these	Eng
he	Eng
'	Punct
s	Eng
just	Eng
being	Eng
funny	Eng
.	Punct
His	Eng
confidence	Eng
🤣	Punct
“	Punct
Oh	Eng
that	Eng
one	Eng
man	Eng
astronaut	Eng
”	Punct
😂	Punct
💀	Punct
💀	Punct
💀	Punct
💀	Punct
@	Punct
illegal	Eng
.	Punct
taco	Spn
@	Punct
diigg	Eng
.	Punct
ffs	Eng
Homeboy	Eng
wasn	Eng
’	Punct
t	Eng
even	Eng
close	Eng
to	Eng
none	Eng
Who	Eng
’	Punct
s	Eng
wants	Eng
sopa	Spn
🍲	Punct
𝙄	Eng
𝙨𝙖𝙮	Eng
✨	Punct
𝙨𝙝𝙖𝙢𝙥𝙤	Eng
✨	Punct
LMAO	Spn
NOT	Eng
THE	Eng
SOPA	Spn
😭	Punct
💀	Punct
People	Eng
who	Eng
don	Eng
’	Punct
t	Eng
get	Eng
hit	Eng
in	Eng
spanish	Eng
:	Punct
🤡	Punct
🤡	Punct
🤡	Punct
Lmao	Spn
pls	Eng
no	Spn
sepo	Spn
kid	Eng
meets	Eng
no	Spn
sabo	Spn
kid	Eng
✨	Punct
colla	Spn
✨	Punct
is	Eng
cola	Spn
I	Eng
like	Eng
how	Eng
he	Eng
forgot	Eng
how	Eng
to	Eng
say	Eng
soap	Eng
and	Eng
he	Eng
said	Eng
soup	Eng
@	Punct
cutepuppies_forlife	Eng
luis	Spn
Sopa	Spn
really	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
Hit	Eng
in	Eng
Spanish	Eng
😭	Punct
☠	Punct
️	Punct
The	Eng
Perron	Spn
has	Eng
me	Eng
dead	Eng
💀	Punct
😂	Punct
@	Punct
l	Spn
.	Punct
3	Num
.	Punct
a	Spn
.	Punct
nn	Spn
.	Punct
a	Spn
@	Punct
official	Eng
.	Punct
ashley17	Spn
that	Eng
’	Punct
s	Eng
Leanna	Eng
💀	Punct
✋	Punct
bruh	Eng
I	Eng
thought	Eng
I	Eng
was	Eng
a	Eng
no	Spn
sabo	Spn
kid	Eng
but	Eng
after	Eng
looking	Eng
at	Eng
this	Eng
I	Eng
might	Eng
be	Eng
fluent	Eng
i	Eng
feel	Eng
like	Eng
a	Eng
no	Spn
sabo	Spn
kid	Eng
🥲	Punct
@	Punct
its3m1ly	Eng
😂	Punct
😂	Punct
@	Punct
that_boi_phantom	Eng
dis	Eng
you	Eng
😭	Punct
*	Punct
feels	Eng
pain	Eng
in	Eng
Spanish	Eng
*	Punct
Man	Eng
really	Eng
said	Eng
soup	Eng
leave	Eng
us	Eng
alone	Eng
😭	Punct
U	Eng
@	Punct
violet_240614	Spn
@	Punct
t3_atlas	Spn
this	Eng
is	Eng
you	Eng
Me	Eng
be	Eng
like	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
And	Eng
then	Eng
they	Eng
act	Eng
like	Eng
they	Eng
don	Eng
'	Punct
t	Eng
know	Eng
english	Eng
you	Eng
make	Eng
me	Eng
forget	Eng
all	Eng
these	Eng
words	Eng
😂	Punct
😭	Punct
😂	Punct
bro	Spn
my	Eng
brother	Eng
said	Eng
soap	Eng
in	Eng
Spanish	Eng
Sopa	Spn
when	Eng
he	Eng
was	Eng
washing	Eng
the	Eng
dishes	Eng
wow	Eng
@	Punct
maribel_cortes1	Spn
@	Punct
ok	Eng
.	Punct
.	Punct
alexandra	Spn
this	Eng
been	Eng
when	Eng
I	Eng
don	Eng
’	Punct
t	Eng
know	Eng
a	Eng
word	Eng
I	Eng
even	Eng
knew	Eng
it	Eng
was	Eng
jabón	Spn
i	Eng
am	Eng
1	Num
%	Punct
no	Spn
sabo	Spn
kid	Eng
U	Eng
got	Eng
me	Eng
with	Eng
the	Eng
d	Eng
.	Punct
j	Eng
at	Eng
the	Eng
end	Eng
💀	Punct
😂	Punct
no	Spn
names	Eng
un	Spn
pinche	Spn
no	Spn
Sabo	Spn
that	Eng
got	Eng
me	Spn
😂	Punct
💀	Punct
El	Spn
perron	Spn
was	Eng
the	Eng
best	Eng
song	Eng
*	Punct
shocked	Eng
in	Eng
spanish	Eng
*	Punct
the	Eng
✨	Punct
perron	Spn
always	Eng
gets	Eng
me	Eng
✨	Punct
I	Eng
'	Punct
m	Eng
50	Num
%	Punct
No	Spn
sobo	Spn
😅	Punct
👩	Punct
🏻	Punct
‍	Punct
🦲	Punct
Alr	Eng
who	Eng
took	Eng
my	Eng
wig	Eng
≤	Punct
)	Punct
)	Punct
≥	Punct
_	Spn
|	Punct
|	Punct
_	Eng
the	Eng
last	Eng
part	Eng
😭	Punct
😭	Punct
😭	Punct
😭	Punct
😭	Punct
What	Eng
does	Eng
danciar	Spn
mean	Eng
😭	Punct
😭	Punct
THE	Eng
SONG	Eng
AT	Eng
THE	Eng
END	Eng
-	Punct
😭	Punct
💀	Punct
ITS	Eng
ABOUT	Eng
DRIVE	Eng
⁉	Punct
️	Punct
ITS	Eng
ABOUT	Eng
POWER	Eng
🥶	Punct
WE	Eng
STAY	Eng
HUNGRY	Eng
👹	Punct
🍗	Punct
WE	Eng
DEVOUR	Eng
😈	Punct
🗣	Punct
💯	Punct
‼	Punct
️	Punct
PUT	Eng
IN	Eng
THE	Eng
WORK	Eng
😮	Punct
‍	Punct
💨	Punct
💪	Punct
PUT	Eng
IN	Eng
THE	Eng
HOURS	Eng
😈	Punct
💪	Punct
ppppPeron	Spn
Laughing	Eng
in	Eng
Spanish	Eng
*	Punct
I	Eng
'	Punct
m	Eng
99	Num
%	Punct
no	Spn
Sabo	Spn
kid	Eng
I	Eng
am	Eng
70	Num
%	Punct
no	Spn
sabo	Spn
The	Eng
end	Eng
😭	Punct
😭	Punct
the	Eng
only	Eng
reason	Eng
i	Eng
’	Punct
m	Eng
one	Eng
cuz	Spn
my	Eng
mom	Eng
like	Eng
“	Punct
learn	Eng
yourself	Eng
”	Punct
when	Eng
i	Eng
’	Punct
m	Eng
trying	Eng
to	Eng
learn	Eng
but	Eng
when	Eng
i	Eng
give	Eng
up	Eng
she	Eng
like	Eng
why	Eng
don	Eng
’	Punct
t	Eng
you	Eng
learn	Eng
🥲	Punct
@	Punct
devanig90	Spn
u	Eng
really	Eng
thought	Eng
I	Eng
was	Eng
like	Eng
this	Eng
?	Punct
?	Punct
I	Eng
love	Eng
the	Eng
no	Spn
sabo	Spn
kid	Eng
prob	Eng
cuz	Spn
I	Eng
’	Punct
m	Eng
one	Eng
😂	Punct
😅	Punct
bahh	Eng
man	Eng
that	Eng
makes	Eng
me	Eng
mad	Eng
Anytime	Eng
I	Eng
see	Eng
these	Eng
I	Eng
forget	Eng
the	Eng
word	Eng
lol	Eng
I	Eng
just	Eng
followed	Eng
bc	Eng
of	Eng
there	Eng
type	Eng
of	Eng
videos	Eng
keep	Eng
up	Eng
the	Eng
good	Eng
work	Eng
😂	Punct
@	Punct
illuminait87	Eng
this	Eng
u	Eng
?	Punct
@	Punct
arianacampos812	Spn
see	Eng
that	Eng
why	Eng
I	Eng
don	Eng
’	Punct
t	Eng
dance	Eng
bc	Eng
Idk	Eng
how	Eng
to	Eng
umm	Eng
como	Spn
se	Spn
dise	Eng
“	Punct
danciar	Spn
”	Punct
@	Punct
danielargazp	Eng
the	Eng
DJ	Eng
looking	Eng
cute	Eng
@	Punct
inveins	Eng
ángel	Spn
yesterday	Eng
pinche	Spn
pendejo	Spn
bro	Spn
I	Eng
just	Eng
leave	Eng
a	Eng
party	Eng
@	Punct
rv3_1	Spn
@	Punct
209__dxmian	Spn
this	Eng
is	Eng
damian	Eng
blame	Eng
the	Eng
parents	Eng
Leave	Eng
her	Eng
alone	Eng
she	Eng
probably	Eng
want	Eng
to	Eng
learn	Eng
but	Eng
it	Eng
’	Punct
s	Eng
hard	Eng
y	Spn
’	Punct
all	Eng
is	Eng
no	Spn
better	Eng
It	Eng
be	Eng
your	Eng
own	Eng
gente	Spn
trynna	Eng
make	Eng
fun	Eng
of	Eng
you	Eng
for	Eng
trying	Eng
to	Eng
learn	Eng
the	Eng
language	Eng
smh	Eng
🤦	Punct
🏽	Punct
‍	Punct
♂	Punct
️	Punct
She	Eng
was	Eng
saying	Eng
it	Eng
correctly	Eng
bro	Spn
just	Eng
tryna	Eng
start	Eng
beef	Eng
where	Eng
there	Eng
isn	Eng
’	Punct
t	Eng
any	Eng
The	Eng
fact	Eng
I	Eng
stutter	Eng
in	Eng
both	Eng
languages	Eng
😭	Punct
This	Eng
is	Eng
what	Eng
kept	Eng
me	Eng
insecure	Eng
all	Eng
these	Eng
years	Eng
😭	Punct
people	Eng
saying	Eng
huUuHH	Eng
she	Eng
look	Eng
too	Eng
mexican	Spn
to	Eng
not	Eng
know	Eng
spanish	Eng
(	Punct
im	Eng
messican	Eng
)	Punct
Y	Spn
’	Punct
all	Eng
tripping	Eng
in	Eng
the	Eng
comments	Eng
.	Punct
I	Eng
ain	Eng
’	Punct
t	Eng
fluent	Eng
in	Eng
Spanish	Eng
because	Eng
my	Eng
parents	Eng
didn	Eng
’	Punct
t	Eng
teach	Eng
me	Eng
but	Eng
no	Spn
matter	Eng
what	Eng
we	Eng
finna	Eng
be	Eng
Mexican	Spn
She	Eng
said	Eng
Aross	Eng
she	Eng
’	Punct
s	Eng
so	Eng
pretty	Eng
the	Eng
man	Eng
recording	Eng
made	Eng
me	Eng
even	Eng
think	Eng
she	Eng
was	Eng
saying	Eng
“	Punct
pollo	Spn
”	Punct
wrong	Eng
😭	Punct
😭	Punct
like	Eng
DAYUM	Eng
Bruh	Eng
the	Eng
one	Eng
recording	Eng
also	Eng
sounds	Eng
no	Spn
sabo	Spn
This	Eng
is	Eng
why	Eng
I	Eng
don	Eng
’	Punct
t	Eng
care	Eng
to	Eng
speak	Eng
it	Eng
now	Eng
.	Punct
Cousins	Eng
in	Eng
Mx	Eng
asking	Eng
me	Eng
to	Eng
say	Eng
words	Eng
then	Eng
laughing	Eng
.	Punct
Spanish	Eng
isn	Eng
’	Punct
t	Eng
even	Eng
our	Eng
TRUE	Eng
language	Eng
.	Punct
She	Eng
knows	Eng
Spanish	Eng
just	Eng
not	Eng
the	Eng
pronunciation	Eng
😭	Punct
🫶	Punct
🏼	Punct
People	Eng
make	Eng
fun	Eng
of	Eng
me	Eng
for	Eng
being	Eng
no	Spn
sabo	Spn
.	Punct
I	Eng
have	Eng
to	Eng
go	Eng
through	Eng
the	Eng
talk	Eng
of	Eng
I	Eng
was	Eng
adopted	Eng
into	Eng
my	Eng
own	Eng
family	Eng
after	Eng
bein	Eng
in	Eng
a	Eng
white	Eng
foster	Eng
home	Eng
for	Eng
years	Eng
No	Spn
bc	Eng
her	Eng
parents	Eng
probably	Eng
spoke	Eng
mostly	Eng
English	Eng
to	Eng
her	Eng
😭	Punct
A	Eng
Ross	Eng
Sorry	Eng
not	Eng
sorry	Eng
but	Eng
I	Eng
hate	Eng
when	Eng
family	Eng
members	Eng
make	Eng
fun	Eng
of	Eng
me	Eng
for	Eng
not	Eng
knowing	Eng
Spanish	Eng
but	Eng
when	Eng
I	Eng
try	Eng
they	Eng
still	Eng
make	Eng
fun	Eng
of	Eng
me	Eng
like	Eng
get	Eng
over	Eng
it	Eng
she	Eng
looks	Eng
like	Eng
she	Eng
was	Eng
born	Eng
from	Eng
the	Eng
mainland	Eng
but	Eng
can	Eng
’	Punct
t	Eng
speak	Eng
spanish	Eng
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
😂	Punct
She	Eng
’	Punct
s	Eng
so	Eng
pretty	Eng
Th	Eng
thing	Eng
is	Eng
I	Eng
can	Eng
speak	Eng
some	Eng
Spanish	Eng
but	Eng
never	Eng
do	Eng
bc	Eng
I	Eng
’	Punct
m	Eng
afriad	Eng
😭	Punct
This	Eng
is	Eng
what	Eng
makes	Eng
them	Eng
not	Eng
want	Eng
to	Eng
learn	Eng
/	Punct
speak	Eng
trust	Eng
me	Eng
That	Eng
'	Punct
s	Eng
not	Eng
the	Eng
ONLY	Eng
reason	Eng
but	Eng
that	Eng
is	Eng
a	Eng
big	Eng
reason	Eng
I	Eng
don	Eng
'	Punct
t	Eng
visit	Eng
any	Eng
of	Eng
my	Eng
family	Eng
lol	Eng
She	Eng
don	Eng
’	Punct
t	Eng
roll	Eng
her	Eng
R	Eng
😭	Punct
Woah	Eng
😳	Punct
she	Eng
pretty	Eng
she	Eng
bad	Eng
tho	Eng
😩	Punct
And	Eng
this	Eng
is	Eng
why	Eng
I	Eng
don	Eng
’	Punct
t	Eng
speak	Eng
Spanish	Eng
around	Eng
my	Eng
family	Eng
🫠	Punct
obviously	Eng
it	Eng
’	Punct
s	Eng
not	Eng
gonna	Eng
sound	Eng
too	Eng
good	Eng
if	Eng
I	Eng
have	Eng
to	Eng
teach	Eng
myself	Eng
Don	Eng
’	Punct
t	Eng
make	Eng
fun	Eng
of	Eng
her	Eng
rr	Eng
’	Punct
s	Eng
😭	Punct
😫	Punct
ppl	Eng
did	Eng
to	Eng
me	Eng
which	Eng
is	Eng
y	Spn
I	Eng
stopped	Eng
speaking	Eng
Spanish	Eng
in	Eng
general	Eng
for	Eng
a	Eng
while	Eng
😮	Punct
‍	Punct
💨	Punct
This	Eng
literally	Eng
me	Eng
💀	Punct
…	Punct
Drop	Eng
her	Eng
@	Punct
😏	Punct
Also	Eng
I	Eng
wrote	Eng
“	Punct
Pendeho	Spn
”	Punct
on	Eng
purpose	Eng
so	Eng
my	Eng
video	Eng
doesn	Eng
’	Punct
t	Eng
get	Eng
flagged	Eng
Dora	Spn
taught	Eng
me	Eng
this	Eng
one	Eng
and	Eng
even	Eng
